year_month,Complaint Type,BoroCd,complaint_count
2010-01,Basket Complaint,101,1
2010-01,Basket Complaint,102,5
2010-01,Basket Complaint,103,4
2010-01,Basket Complaint,104,7
2010-01,Basket Complaint,105,5
2010-01,Basket Complaint,106,2
2010-01,Basket Complaint,107,6
2010-01,Basket Complaint,108,4
2010-01,Basket Complaint,109,2
2010-01,Basket Complaint,110,2
2010-01,Basket Complaint,111,3
2010-01,Basket Complaint,112,10
2010-01,Basket Complaint,201,3
2010-01,Basket Complaint,203,3
2010-01,Basket Complaint,204,3
2010-01,Basket Complaint,205,1
2010-01,Basket Complaint,206,1
2010-01,Basket Complaint,209,1
2010-01,Basket Complaint,210,4
2010-01,Basket Complaint,211,3
2010-01,Basket Complaint,212,3
2010-01,Basket Complaint,301,8
2010-01,Basket Complaint,302,5
2010-01,Basket Complaint,303,5
2010-01,Basket Complaint,304,1
2010-01,Basket Complaint,305,2
2010-01,Basket Complaint,306,3
2010-01,Basket Complaint,307,3
2010-01,Basket Complaint,308,1
2010-01,Basket Complaint,309,6
2010-01,Basket Complaint,310,4
2010-01,Basket Complaint,311,7
2010-01,Basket Complaint,312,5
2010-01,Basket Complaint,313,1
2010-01,Basket Complaint,314,13
2010-01,Basket Complaint,315,10
2010-01,Basket Complaint,316,4
2010-01,Basket Complaint,317,2
2010-01,Basket Complaint,318,5
2010-01,Basket Complaint,401,5
2010-01,Basket Complaint,402,5
2010-01,Basket Complaint,403,5
2010-01,Basket Complaint,404,2
2010-01,Basket Complaint,405,6
2010-01,Basket Complaint,406,6
2010-01,Basket Complaint,407,4
2010-01,Basket Complaint,408,2
2010-01,Basket Complaint,409,4
2010-01,Basket Complaint,410,4
2010-01,Basket Complaint,411,4
2010-01,Basket Complaint,412,2
2010-01,Basket Complaint,413,7
2010-01,Basket Complaint,414,1
2010-01,Basket Complaint,501,7
2010-01,Basket Complaint,502,6
2010-01,Basket Complaint,503,4
2010-01,Collection Truck Noise,102,1
2010-01,Collection Truck Noise,107,1
2010-01,Collection Truck Noise,201,1
2010-01,Collection Truck Noise,301,1
2010-01,Collection Truck Noise,302,1
2010-01,Collection Truck Noise,308,1
2010-01,Collection Truck Noise,310,1
2010-01,Collection Truck Noise,312,1
2010-01,Collection Truck Noise,315,1
2010-01,Collection Truck Noise,405,1
2010-01,Collection Truck Noise,502,1
2010-01,Missing Collection,101,6
2010-01,Missing Collection,102,20
2010-01,Missing Collection,103,11
2010-01,Missing Collection,104,14
2010-01,Missing Collection,105,9
2010-01,Missing Collection,106,20
2010-01,Missing Collection,107,22
2010-01,Missing Collection,108,27
2010-01,Missing Collection,109,6
2010-01,Missing Collection,110,22
2010-01,Missing Collection,111,10
2010-01,Missing Collection,112,13
2010-01,Missing Collection,201,7
2010-01,Missing Collection,202,11
2010-01,Missing Collection,203,17
2010-01,Missing Collection,204,7
2010-01,Missing Collection,205,3
2010-01,Missing Collection,206,11
2010-01,Missing Collection,207,8
2010-01,Missing Collection,208,17
2010-01,Missing Collection,209,18
2010-01,Missing Collection,210,45
2010-01,Missing Collection,211,36
2010-01,Missing Collection,212,47
2010-01,Missing Collection,301,55
2010-01,Missing Collection,302,31
2010-01,Missing Collection,303,44
2010-01,Missing Collection,304,10
2010-01,Missing Collection,305,42
2010-01,Missing Collection,306,47
2010-01,Missing Collection,307,6
2010-01,Missing Collection,308,14
2010-01,Missing Collection,309,17
2010-01,Missing Collection,310,21
2010-01,Missing Collection,311,41
2010-01,Missing Collection,312,43
2010-01,Missing Collection,313,17
2010-01,Missing Collection,314,28
2010-01,Missing Collection,315,66
2010-01,Missing Collection,316,9
2010-01,Missing Collection,317,32
2010-01,Missing Collection,318,80
2010-01,Missing Collection,401,54
2010-01,Missing Collection,402,13
2010-01,Missing Collection,403,23
2010-01,Missing Collection,404,30
2010-01,Missing Collection,405,73
2010-01,Missing Collection,406,38
2010-01,Missing Collection,407,87
2010-01,Missing Collection,408,56
2010-01,Missing Collection,409,29
2010-01,Missing Collection,410,45
2010-01,Missing Collection,411,44
2010-01,Missing Collection,412,89
2010-01,Missing Collection,413,101
2010-01,Missing Collection,414,29
2010-01,Missing Collection,501,117
2010-01,Missing Collection,502,111
2010-01,Missing Collection,503,145
2010-01,Sweeping Complaint,103,1
2010-01,Sweeping Complaint,106,1
2010-01,Sweeping Complaint,108,3
2010-01,Sweeping Complaint,109,2
2010-01,Sweeping Complaint,110,1
2010-01,Sweeping Complaint,111,2
2010-01,Sweeping Complaint,208,1
2010-01,Sweeping Complaint,211,4
2010-01,Sweeping Complaint,212,1
2010-01,Sweeping Complaint,301,3
2010-01,Sweeping Complaint,302,1
2010-01,Sweeping Complaint,303,1
2010-01,Sweeping Complaint,304,1
2010-01,Sweeping Complaint,305,1
2010-01,Sweeping Complaint,306,2
2010-01,Sweeping Complaint,308,2
2010-01,Sweeping Complaint,309,1
2010-01,Sweeping Complaint,310,3
2010-01,Sweeping Complaint,311,1
2010-01,Sweeping Complaint,312,4
2010-01,Sweeping Complaint,313,2
2010-01,Sweeping Complaint,314,2
2010-01,Sweeping Complaint,315,1
2010-01,Sweeping Complaint,316,1
2010-01,Sweeping Complaint,317,3
2010-01,Sweeping Complaint,401,2
2010-01,Sweeping Complaint,402,1
2010-01,Sweeping Complaint,403,2
2010-01,Sweeping Complaint,405,1
2010-01,Sweeping Complaint,406,1
2010-01,Sweeping Complaint,407,1
2010-01,Sweeping Complaint,411,1
2010-01,Sweeping Complaint,412,2
2010-01,Sweeping Complaint,414,2
2010-01,Sweeping Complaint,503,1
2010-02,Adopt-A-Basket,102,1
2010-02,Adopt-A-Basket,204,1
2010-02,Adopt-A-Basket,313,1
2010-02,Basket Complaint,102,2
2010-02,Basket Complaint,103,3
2010-02,Basket Complaint,104,6
2010-02,Basket Complaint,106,2
2010-02,Basket Complaint,107,4
2010-02,Basket Complaint,108,2
2010-02,Basket Complaint,110,2
2010-02,Basket Complaint,111,1
2010-02,Basket Complaint,202,1
2010-02,Basket Complaint,205,1
2010-02,Basket Complaint,207,3
2010-02,Basket Complaint,208,4
2010-02,Basket Complaint,209,2
2010-02,Basket Complaint,210,6
2010-02,Basket Complaint,211,2
2010-02,Basket Complaint,212,1
2010-02,Basket Complaint,301,5
2010-02,Basket Complaint,302,1
2010-02,Basket Complaint,303,4
2010-02,Basket Complaint,304,4
2010-02,Basket Complaint,305,4
2010-02,Basket Complaint,306,3
2010-02,Basket Complaint,307,1
2010-02,Basket Complaint,308,3
2010-02,Basket Complaint,309,1
2010-02,Basket Complaint,310,4
2010-02,Basket Complaint,311,6
2010-02,Basket Complaint,312,6
2010-02,Basket Complaint,313,2
2010-02,Basket Complaint,314,14
2010-02,Basket Complaint,315,11
2010-02,Basket Complaint,316,2
2010-02,Basket Complaint,317,4
2010-02,Basket Complaint,318,2
2010-02,Basket Complaint,401,1
2010-02,Basket Complaint,403,6
2010-02,Basket Complaint,404,2
2010-02,Basket Complaint,405,9
2010-02,Basket Complaint,406,5
2010-02,Basket Complaint,407,4
2010-02,Basket Complaint,408,5
2010-02,Basket Complaint,409,6
2010-02,Basket Complaint,410,7
2010-02,Basket Complaint,411,1
2010-02,Basket Complaint,412,2
2010-02,Basket Complaint,413,2
2010-02,Basket Complaint,414,2
2010-02,Basket Complaint,501,8
2010-02,Basket Complaint,502,1
2010-02,Basket Complaint,503,5
2010-02,Collection Truck Noise,101,2
2010-02,Collection Truck Noise,103,2
2010-02,Collection Truck Noise,105,2
2010-02,Collection Truck Noise,106,1
2010-02,Collection Truck Noise,108,1
2010-02,Collection Truck Noise,109,1
2010-02,Collection Truck Noise,202,1
2010-02,Collection Truck Noise,212,1
2010-02,Collection Truck Noise,302,2
2010-02,Collection Truck Noise,312,1
2010-02,Collection Truck Noise,503,1
2010-02,Missing Collection,101,3
2010-02,Missing Collection,102,15
2010-02,Missing Collection,103,4
2010-02,Missing Collection,104,8
2010-02,Missing Collection,105,10
2010-02,Missing Collection,106,8
2010-02,Missing Collection,107,18
2010-02,Missing Collection,108,15
2010-02,Missing Collection,110,9
2010-02,Missing Collection,111,2
2010-02,Missing Collection,112,10
2010-02,Missing Collection,201,1
2010-02,Missing Collection,202,7
2010-02,Missing Collection,203,11
2010-02,Missing Collection,204,6
2010-02,Missing Collection,205,1
2010-02,Missing Collection,206,10
2010-02,Missing Collection,207,11
2010-02,Missing Collection,208,9
2010-02,Missing Collection,209,15
2010-02,Missing Collection,210,13
2010-02,Missing Collection,211,9
2010-02,Missing Collection,212,25
2010-02,Missing Collection,301,43
2010-02,Missing Collection,302,11
2010-02,Missing Collection,303,30
2010-02,Missing Collection,304,20
2010-02,Missing Collection,305,60
2010-02,Missing Collection,306,30
2010-02,Missing Collection,307,6
2010-02,Missing Collection,308,12
2010-02,Missing Collection,309,12
2010-02,Missing Collection,310,21
2010-02,Missing Collection,311,39
2010-02,Missing Collection,312,44
2010-02,Missing Collection,313,4
2010-02,Missing Collection,314,22
2010-02,Missing Collection,315,35
2010-02,Missing Collection,316,11
2010-02,Missing Collection,317,31
2010-02,Missing Collection,318,46
2010-02,Missing Collection,401,27
2010-02,Missing Collection,402,10
2010-02,Missing Collection,403,28
2010-02,Missing Collection,404,20
2010-02,Missing Collection,405,89
2010-02,Missing Collection,406,39
2010-02,Missing Collection,407,41
2010-02,Missing Collection,408,78
2010-02,Missing Collection,409,21
2010-02,Missing Collection,410,34
2010-02,Missing Collection,411,38
2010-02,Missing Collection,412,59
2010-02,Missing Collection,413,83
2010-02,Missing Collection,414,30
2010-02,Missing Collection,501,77
2010-02,Missing Collection,502,60
2010-02,Missing Collection,503,69
2010-02,Sweeping Complaint,102,2
2010-02,Sweeping Complaint,103,1
2010-02,Sweeping Complaint,104,2
2010-02,Sweeping Complaint,106,1
2010-02,Sweeping Complaint,107,3
2010-02,Sweeping Complaint,108,3
2010-02,Sweeping Complaint,109,1
2010-02,Sweeping Complaint,110,1
2010-02,Sweeping Complaint,111,3
2010-02,Sweeping Complaint,112,4
2010-02,Sweeping Complaint,201,1
2010-02,Sweeping Complaint,205,1
2010-02,Sweeping Complaint,207,1
2010-02,Sweeping Complaint,211,1
2010-02,Sweeping Complaint,212,2
2010-02,Sweeping Complaint,226,1
2010-02,Sweeping Complaint,301,2
2010-02,Sweeping Complaint,302,2
2010-02,Sweeping Complaint,303,2
2010-02,Sweeping Complaint,304,1
2010-02,Sweeping Complaint,305,4
2010-02,Sweeping Complaint,306,3
2010-02,Sweeping Complaint,307,2
2010-02,Sweeping Complaint,308,1
2010-02,Sweeping Complaint,309,6
2010-02,Sweeping Complaint,310,6
2010-02,Sweeping Complaint,311,5
2010-02,Sweeping Complaint,312,6
2010-02,Sweeping Complaint,313,2
2010-02,Sweeping Complaint,314,1
2010-02,Sweeping Complaint,315,2
2010-02,Sweeping Complaint,317,2
2010-02,Sweeping Complaint,318,3
2010-02,Sweeping Complaint,401,5
2010-02,Sweeping Complaint,402,1
2010-02,Sweeping Complaint,403,4
2010-02,Sweeping Complaint,404,3
2010-02,Sweeping Complaint,405,1
2010-02,Sweeping Complaint,406,4
2010-02,Sweeping Complaint,408,1
2010-02,Sweeping Complaint,411,1
2010-02,Sweeping Complaint,412,1
2010-02,Sweeping Complaint,414,1
2010-02,Sweeping Complaint,502,1
2010-02,Sweeping Complaint,503,1
2010-03,Adopt-A-Basket,202,1
2010-03,Adopt-A-Basket,203,2
2010-03,Adopt-A-Basket,406,1
2010-03,Adopt-A-Basket,412,1
2010-03,Basket Complaint,101,3
2010-03,Basket Complaint,102,26
2010-03,Basket Complaint,103,5
2010-03,Basket Complaint,104,4
2010-03,Basket Complaint,105,2
2010-03,Basket Complaint,106,3
2010-03,Basket Complaint,107,10
2010-03,Basket Complaint,108,7
2010-03,Basket Complaint,110,3
2010-03,Basket Complaint,111,7
2010-03,Basket Complaint,112,5
2010-03,Basket Complaint,201,2
2010-03,Basket Complaint,202,1
2010-03,Basket Complaint,203,2
2010-03,Basket Complaint,204,4
2010-03,Basket Complaint,205,4
2010-03,Basket Complaint,206,4
2010-03,Basket Complaint,207,3
2010-03,Basket Complaint,208,4
2010-03,Basket Complaint,209,4
2010-03,Basket Complaint,210,3
2010-03,Basket Complaint,211,1
2010-03,Basket Complaint,212,3
2010-03,Basket Complaint,301,11
2010-03,Basket Complaint,302,1
2010-03,Basket Complaint,303,9
2010-03,Basket Complaint,304,4
2010-03,Basket Complaint,305,7
2010-03,Basket Complaint,306,6
2010-03,Basket Complaint,307,8
2010-03,Basket Complaint,308,2
2010-03,Basket Complaint,309,1
2010-03,Basket Complaint,310,6
2010-03,Basket Complaint,311,12
2010-03,Basket Complaint,312,10
2010-03,Basket Complaint,313,3
2010-03,Basket Complaint,314,29
2010-03,Basket Complaint,315,10
2010-03,Basket Complaint,316,1
2010-03,Basket Complaint,317,6
2010-03,Basket Complaint,318,6
2010-03,Basket Complaint,355,1
2010-03,Basket Complaint,401,11
2010-03,Basket Complaint,402,3
2010-03,Basket Complaint,403,10
2010-03,Basket Complaint,404,5
2010-03,Basket Complaint,405,4
2010-03,Basket Complaint,406,7
2010-03,Basket Complaint,407,10
2010-03,Basket Complaint,408,13
2010-03,Basket Complaint,409,5
2010-03,Basket Complaint,410,6
2010-03,Basket Complaint,411,3
2010-03,Basket Complaint,412,16
2010-03,Basket Complaint,413,10
2010-03,Basket Complaint,414,1
2010-03,Basket Complaint,501,17
2010-03,Basket Complaint,502,3
2010-03,Basket Complaint,503,6
2010-03,Collection Truck Noise,102,1
2010-03,Collection Truck Noise,103,1
2010-03,Collection Truck Noise,104,1
2010-03,Collection Truck Noise,106,1
2010-03,Collection Truck Noise,112,3
2010-03,Collection Truck Noise,202,2
2010-03,Collection Truck Noise,301,1
2010-03,Collection Truck Noise,302,1
2010-03,Collection Truck Noise,304,1
2010-03,Collection Truck Noise,308,1
2010-03,Collection Truck Noise,310,1
2010-03,Collection Truck Noise,312,1
2010-03,Collection Truck Noise,405,2
2010-03,Collection Truck Noise,407,3
2010-03,Collection Truck Noise,412,1
2010-03,Collection Truck Noise,414,3
2010-03,Missing Collection,101,5
2010-03,Missing Collection,102,6
2010-03,Missing Collection,103,6
2010-03,Missing Collection,104,3
2010-03,Missing Collection,105,7
2010-03,Missing Collection,106,8
2010-03,Missing Collection,107,19
2010-03,Missing Collection,108,9
2010-03,Missing Collection,109,1
2010-03,Missing Collection,110,13
2010-03,Missing Collection,111,9
2010-03,Missing Collection,112,4
2010-03,Missing Collection,201,2
2010-03,Missing Collection,202,4
2010-03,Missing Collection,203,16
2010-03,Missing Collection,204,5
2010-03,Missing Collection,205,2
2010-03,Missing Collection,206,11
2010-03,Missing Collection,207,8
2010-03,Missing Collection,208,5
2010-03,Missing Collection,209,11
2010-03,Missing Collection,210,22
2010-03,Missing Collection,211,28
2010-03,Missing Collection,212,28
2010-03,Missing Collection,301,60
2010-03,Missing Collection,302,17
2010-03,Missing Collection,303,30
2010-03,Missing Collection,304,5
2010-03,Missing Collection,305,31
2010-03,Missing Collection,306,38
2010-03,Missing Collection,307,10
2010-03,Missing Collection,308,3
2010-03,Missing Collection,309,11
2010-03,Missing Collection,310,25
2010-03,Missing Collection,311,46
2010-03,Missing Collection,312,51
2010-03,Missing Collection,313,14
2010-03,Missing Collection,314,29
2010-03,Missing Collection,315,68
2010-03,Missing Collection,316,11
2010-03,Missing Collection,317,20
2010-03,Missing Collection,318,56
2010-03,Missing Collection,401,37
2010-03,Missing Collection,402,6
2010-03,Missing Collection,403,9
2010-03,Missing Collection,404,18
2010-03,Missing Collection,405,43
2010-03,Missing Collection,406,28
2010-03,Missing Collection,407,66
2010-03,Missing Collection,408,60
2010-03,Missing Collection,409,18
2010-03,Missing Collection,410,39
2010-03,Missing Collection,411,32
2010-03,Missing Collection,412,51
2010-03,Missing Collection,413,67
2010-03,Missing Collection,414,28
2010-03,Missing Collection,501,96
2010-03,Missing Collection,502,105
2010-03,Missing Collection,503,88
2010-03,Sweeping Complaint,104,1
2010-03,Sweeping Complaint,106,1
2010-03,Sweeping Complaint,107,2
2010-03,Sweeping Complaint,111,1
2010-03,Sweeping Complaint,201,2
2010-03,Sweeping Complaint,203,1
2010-03,Sweeping Complaint,204,1
2010-03,Sweeping Complaint,208,2
2010-03,Sweeping Complaint,212,3
2010-03,Sweeping Complaint,301,4
2010-03,Sweeping Complaint,302,3
2010-03,Sweeping Complaint,303,4
2010-03,Sweeping Complaint,304,2
2010-03,Sweeping Complaint,305,6
2010-03,Sweeping Complaint,306,1
2010-03,Sweeping Complaint,307,1
2010-03,Sweeping Complaint,310,6
2010-03,Sweeping Complaint,311,3
2010-03,Sweeping Complaint,312,5
2010-03,Sweeping Complaint,314,3
2010-03,Sweeping Complaint,316,2
2010-03,Sweeping Complaint,317,1
2010-03,Sweeping Complaint,318,10
2010-03,Sweeping Complaint,401,1
2010-03,Sweeping Complaint,402,1
2010-03,Sweeping Complaint,403,4
2010-03,Sweeping Complaint,404,1
2010-03,Sweeping Complaint,405,3
2010-03,Sweeping Complaint,406,2
2010-03,Sweeping Complaint,407,2
2010-03,Sweeping Complaint,408,4
2010-03,Sweeping Complaint,412,2
2010-03,Sweeping Complaint,414,3
2010-03,Sweeping Complaint,502,1
2010-03,Sweeping Complaint,503,1
2010-04,Adopt-A-Basket,104,1
2010-04,Adopt-A-Basket,105,2
2010-04,Adopt-A-Basket,107,3
2010-04,Adopt-A-Basket,110,1
2010-04,Adopt-A-Basket,210,1
2010-04,Adopt-A-Basket,318,1
2010-04,Adopt-A-Basket,355,1
2010-04,Adopt-A-Basket,401,1
2010-04,Basket Complaint,101,3
2010-04,Basket Complaint,102,21
2010-04,Basket Complaint,103,6
2010-04,Basket Complaint,105,4
2010-04,Basket Complaint,106,1
2010-04,Basket Complaint,107,6
2010-04,Basket Complaint,108,12
2010-04,Basket Complaint,109,1
2010-04,Basket Complaint,110,2
2010-04,Basket Complaint,111,9
2010-04,Basket Complaint,112,5
2010-04,Basket Complaint,164,2
2010-04,Basket Complaint,201,4
2010-04,Basket Complaint,203,2
2010-04,Basket Complaint,204,1
2010-04,Basket Complaint,205,1
2010-04,Basket Complaint,206,5
2010-04,Basket Complaint,207,6
2010-04,Basket Complaint,208,2
2010-04,Basket Complaint,209,1
2010-04,Basket Complaint,210,8
2010-04,Basket Complaint,211,3
2010-04,Basket Complaint,301,8
2010-04,Basket Complaint,302,9
2010-04,Basket Complaint,303,10
2010-04,Basket Complaint,304,3
2010-04,Basket Complaint,305,2
2010-04,Basket Complaint,306,5
2010-04,Basket Complaint,307,6
2010-04,Basket Complaint,308,1
2010-04,Basket Complaint,309,3
2010-04,Basket Complaint,310,2
2010-04,Basket Complaint,311,5
2010-04,Basket Complaint,312,7
2010-04,Basket Complaint,314,19
2010-04,Basket Complaint,315,10
2010-04,Basket Complaint,316,2
2010-04,Basket Complaint,317,5
2010-04,Basket Complaint,318,9
2010-04,Basket Complaint,401,9
2010-04,Basket Complaint,402,5
2010-04,Basket Complaint,403,10
2010-04,Basket Complaint,404,4
2010-04,Basket Complaint,405,4
2010-04,Basket Complaint,406,5
2010-04,Basket Complaint,407,7
2010-04,Basket Complaint,408,10
2010-04,Basket Complaint,409,9
2010-04,Basket Complaint,410,5
2010-04,Basket Complaint,411,6
2010-04,Basket Complaint,412,9
2010-04,Basket Complaint,413,12
2010-04,Basket Complaint,414,2
2010-04,Basket Complaint,481,1
2010-04,Basket Complaint,501,14
2010-04,Basket Complaint,502,8
2010-04,Basket Complaint,503,20
2010-04,Basket Complaint,595,1
2010-04,Collection Truck Noise,107,2
2010-04,Collection Truck Noise,108,2
2010-04,Collection Truck Noise,306,1
2010-04,Collection Truck Noise,311,1
2010-04,Collection Truck Noise,403,1
2010-04,Collection Truck Noise,406,1
2010-04,Collection Truck Noise,408,1
2010-04,Collection Truck Noise,411,1
2010-04,Missing Collection,101,4
2010-04,Missing Collection,102,10
2010-04,Missing Collection,103,7
2010-04,Missing Collection,104,9
2010-04,Missing Collection,105,7
2010-04,Missing Collection,106,7
2010-04,Missing Collection,107,9
2010-04,Missing Collection,108,13
2010-04,Missing Collection,109,2
2010-04,Missing Collection,110,7
2010-04,Missing Collection,111,3
2010-04,Missing Collection,112,5
2010-04,Missing Collection,201,4
2010-04,Missing Collection,202,5
2010-04,Missing Collection,203,12
2010-04,Missing Collection,204,3
2010-04,Missing Collection,205,3
2010-04,Missing Collection,206,8
2010-04,Missing Collection,207,17
2010-04,Missing Collection,208,12
2010-04,Missing Collection,209,10
2010-04,Missing Collection,210,10
2010-04,Missing Collection,211,14
2010-04,Missing Collection,212,22
2010-04,Missing Collection,301,45
2010-04,Missing Collection,302,22
2010-04,Missing Collection,303,29
2010-04,Missing Collection,304,1
2010-04,Missing Collection,305,22
2010-04,Missing Collection,306,28
2010-04,Missing Collection,307,10
2010-04,Missing Collection,308,4
2010-04,Missing Collection,309,6
2010-04,Missing Collection,310,11
2010-04,Missing Collection,311,38
2010-04,Missing Collection,312,29
2010-04,Missing Collection,313,8
2010-04,Missing Collection,314,18
2010-04,Missing Collection,315,26
2010-04,Missing Collection,316,3
2010-04,Missing Collection,317,26
2010-04,Missing Collection,318,39
2010-04,Missing Collection,401,26
2010-04,Missing Collection,402,10
2010-04,Missing Collection,403,8
2010-04,Missing Collection,404,10
2010-04,Missing Collection,405,34
2010-04,Missing Collection,406,25
2010-04,Missing Collection,407,64
2010-04,Missing Collection,408,54
2010-04,Missing Collection,409,10
2010-04,Missing Collection,410,26
2010-04,Missing Collection,411,26
2010-04,Missing Collection,412,48
2010-04,Missing Collection,413,44
2010-04,Missing Collection,414,14
2010-04,Missing Collection,501,65
2010-04,Missing Collection,502,91
2010-04,Missing Collection,503,70
2010-04,Sweeping Complaint,102,1
2010-04,Sweeping Complaint,106,3
2010-04,Sweeping Complaint,107,3
2010-04,Sweeping Complaint,108,2
2010-04,Sweeping Complaint,110,2
2010-04,Sweeping Complaint,111,2
2010-04,Sweeping Complaint,112,1
2010-04,Sweeping Complaint,201,1
2010-04,Sweeping Complaint,208,1
2010-04,Sweeping Complaint,211,3
2010-04,Sweeping Complaint,212,1
2010-04,Sweeping Complaint,301,1
2010-04,Sweeping Complaint,303,3
2010-04,Sweeping Complaint,304,1
2010-04,Sweeping Complaint,305,8
2010-04,Sweeping Complaint,307,1
2010-04,Sweeping Complaint,308,1
2010-04,Sweeping Complaint,309,1
2010-04,Sweeping Complaint,310,2
2010-04,Sweeping Complaint,311,3
2010-04,Sweeping Complaint,312,4
2010-04,Sweeping Complaint,313,2
2010-04,Sweeping Complaint,314,2
2010-04,Sweeping Complaint,315,2
2010-04,Sweeping Complaint,316,4
2010-04,Sweeping Complaint,317,2
2010-04,Sweeping Complaint,318,3
2010-04,Sweeping Complaint,401,4
2010-04,Sweeping Complaint,402,1
2010-04,Sweeping Complaint,403,1
2010-04,Sweeping Complaint,405,1
2010-04,Sweeping Complaint,407,3
2010-04,Sweeping Complaint,408,1
2010-04,Sweeping Complaint,412,2
2010-04,Sweeping Complaint,413,1
2010-04,Sweeping Complaint,414,4
2010-04,Sweeping Complaint,503,2
2010-05,Adopt-A-Basket,102,1
2010-05,Adopt-A-Basket,209,1
2010-05,Adopt-A-Basket,412,1
2010-05,Adopt-A-Basket,413,1
2010-05,Basket Complaint,102,24
2010-05,Basket Complaint,103,11
2010-05,Basket Complaint,104,5
2010-05,Basket Complaint,105,12
2010-05,Basket Complaint,106,4
2010-05,Basket Complaint,107,14
2010-05,Basket Complaint,108,5
2010-05,Basket Complaint,109,1
2010-05,Basket Complaint,110,7
2010-05,Basket Complaint,111,5
2010-05,Basket Complaint,112,3
2010-05,Basket Complaint,164,2
2010-05,Basket Complaint,201,4
2010-05,Basket Complaint,202,1
2010-05,Basket Complaint,203,5
2010-05,Basket Complaint,204,1
2010-05,Basket Complaint,206,7
2010-05,Basket Complaint,207,4
2010-05,Basket Complaint,208,1
2010-05,Basket Complaint,209,1
2010-05,Basket Complaint,210,2
2010-05,Basket Complaint,211,3
2010-05,Basket Complaint,212,5
2010-05,Basket Complaint,301,7
2010-05,Basket Complaint,302,12
2010-05,Basket Complaint,303,15
2010-05,Basket Complaint,304,6
2010-05,Basket Complaint,305,4
2010-05,Basket Complaint,306,11
2010-05,Basket Complaint,307,8
2010-05,Basket Complaint,308,9
2010-05,Basket Complaint,309,1
2010-05,Basket Complaint,310,8
2010-05,Basket Complaint,311,3
2010-05,Basket Complaint,312,2
2010-05,Basket Complaint,313,3
2010-05,Basket Complaint,314,5
2010-05,Basket Complaint,315,14
2010-05,Basket Complaint,316,2
2010-05,Basket Complaint,317,5
2010-05,Basket Complaint,318,8
2010-05,Basket Complaint,355,2
2010-05,Basket Complaint,401,4
2010-05,Basket Complaint,402,3
2010-05,Basket Complaint,403,2
2010-05,Basket Complaint,404,3
2010-05,Basket Complaint,405,5
2010-05,Basket Complaint,406,2
2010-05,Basket Complaint,407,8
2010-05,Basket Complaint,408,7
2010-05,Basket Complaint,409,7
2010-05,Basket Complaint,410,6
2010-05,Basket Complaint,411,5
2010-05,Basket Complaint,412,8
2010-05,Basket Complaint,413,11
2010-05,Basket Complaint,414,5
2010-05,Basket Complaint,501,12
2010-05,Basket Complaint,502,5
2010-05,Basket Complaint,503,6
2010-05,Collection Truck Noise,102,1
2010-05,Collection Truck Noise,107,1
2010-05,Collection Truck Noise,313,2
2010-05,Collection Truck Noise,411,2
2010-05,Missing Collection,101,4
2010-05,Missing Collection,102,5
2010-05,Missing Collection,103,12
2010-05,Missing Collection,104,6
2010-05,Missing Collection,105,6
2010-05,Missing Collection,106,3
2010-05,Missing Collection,107,5
2010-05,Missing Collection,108,17
2010-05,Missing Collection,109,3
2010-05,Missing Collection,110,11
2010-05,Missing Collection,111,3
2010-05,Missing Collection,112,6
2010-05,Missing Collection,201,2
2010-05,Missing Collection,202,4
2010-05,Missing Collection,203,14
2010-05,Missing Collection,204,5
2010-05,Missing Collection,205,3
2010-05,Missing Collection,206,6
2010-05,Missing Collection,207,2
2010-05,Missing Collection,208,12
2010-05,Missing Collection,209,11
2010-05,Missing Collection,210,20
2010-05,Missing Collection,211,10
2010-05,Missing Collection,212,20
2010-05,Missing Collection,301,35
2010-05,Missing Collection,302,20
2010-05,Missing Collection,303,25
2010-05,Missing Collection,304,9
2010-05,Missing Collection,305,14
2010-05,Missing Collection,306,24
2010-05,Missing Collection,307,8
2010-05,Missing Collection,308,4
2010-05,Missing Collection,309,7
2010-05,Missing Collection,310,13
2010-05,Missing Collection,311,42
2010-05,Missing Collection,312,35
2010-05,Missing Collection,313,8
2010-05,Missing Collection,314,10
2010-05,Missing Collection,315,42
2010-05,Missing Collection,316,4
2010-05,Missing Collection,317,32
2010-05,Missing Collection,318,43
2010-05,Missing Collection,355,1
2010-05,Missing Collection,401,38
2010-05,Missing Collection,402,6
2010-05,Missing Collection,403,19
2010-05,Missing Collection,404,10
2010-05,Missing Collection,405,28
2010-05,Missing Collection,406,28
2010-05,Missing Collection,407,51
2010-05,Missing Collection,408,66
2010-05,Missing Collection,409,13
2010-05,Missing Collection,410,24
2010-05,Missing Collection,411,29
2010-05,Missing Collection,412,39
2010-05,Missing Collection,413,49
2010-05,Missing Collection,414,22
2010-05,Missing Collection,501,71
2010-05,Missing Collection,502,55
2010-05,Missing Collection,503,89
2010-05,Sweeping Complaint,102,2
2010-05,Sweeping Complaint,105,1
2010-05,Sweeping Complaint,106,1
2010-05,Sweeping Complaint,107,3
2010-05,Sweeping Complaint,108,1
2010-05,Sweeping Complaint,109,1
2010-05,Sweeping Complaint,110,3
2010-05,Sweeping Complaint,204,1
2010-05,Sweeping Complaint,205,2
2010-05,Sweeping Complaint,208,1
2010-05,Sweeping Complaint,212,1
2010-05,Sweeping Complaint,302,4
